task_name,instance_num,job_name,task_type,status,start_time,end_time,duration,plan_cpu,plan_mem
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,39,j_508283,10,Terminated,562705,562735,30,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,49,j_589323,10,Terminated,562719,562752,33,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,26,j_224702,10,Terminated,476320,476344,24,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,49,j_404204,10,Terminated,562725,562754,29,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,15,j_169991,10,Terminated,562726,562767,41,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,10,j_97611,10,Terminated,649133,649160,27,100,0.1
task_MzQwMDQzNjY0MzkwNzU2ODYyMg==,65,j_359037,3,Terminated,281934,282002,68,100,0.39
task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,40,j_545541,8,Terminated,346735,346793,58,100,0.59
task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,40,j_696041,8,Terminated,346735,346765,30,100,0.59
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,13,j_513859,10,Terminated,238761,238781,20,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,12,j_735807,10,Terminated,562761,562781,20,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,23,j_769290,10,Terminated,476375,476411,36,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,98,j_99727,10,Terminated,130776,130805,29,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,15,j_158655,10,Terminated,649179,649199,20,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,14,j_440796,10,Terminated,130796,130820,24,100,0.1
task_ODg3NTU4NTE3NDcxODA4NjA5Ng==,40,j_513600,3,Terminated,627607,627662,55,100,0.39
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,77,j_735523,10,Terminated,130842,131036,194,75,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,21,j_364221,10,Terminated,670848,670875,27,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,17,j_608549,10,Terminated,130851,130881,30,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,61,j_296945,10,Terminated,303652,303751,99,100,0.1
task_MzQwMDQzNjY0MzkwNzU2ODYyMg==,12,j_572250,3,Terminated,109252,109315,63,100,0.39
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,52,j_593365,10,Terminated,562871,562897,26,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,58,j_251611,10,Terminated,562871,562901,30,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,15,j_402336,10,Terminated,649284,649306,22,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,21,j_355370,10,Terminated,649296,649317,21,100,0.1
task_MzQwMDQzNjY0MzkwNzU2ODYyMg==,20,j_418999,3,Terminated,346906,346937,31,100,0.2
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,14,j_129782,10,Terminated,130917,130946,29,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,31,j_176213,10,Terminated,498132,498152,20,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,10,j_848256,10,Terminated,584544,584575,31,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,21,j_843763,10,Terminated,562963,562988,25,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,22,j_125314,10,Terminated,130968,131137,169,75,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,20,j_842662,10,Terminated,562970,563025,55,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,46,j_426155,10,Terminated,562986,563010,24,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,14,j_414277,10,Terminated,649390,649416,26,100,0.1
task_MzQwMDQzNjY0MzkwNzU2ODYyMg==,60,j_459918,12,Terminated,109408,109458,50,100,0.39
task_MzQwMDQzNjY0MzkwNzU2ODYyMg==,39,j_653810,3,Terminated,584611,584678,67,100,0.19
task_MzQwMDQzNjY0MzkwNzU2ODYyMg==,35,j_145091,3,Terminated,584637,584666,29,100,0.19
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,27,j_169630,10,Terminated,498255,498276,21,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,40,j_41724,10,Terminated,649460,649486,26,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,14,j_96284,10,Terminated,303903,303924,21,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,31,j_151762,10,Terminated,498358,498378,20,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,30,j_441170,10,Terminated,563163,563213,50,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,76,j_737362,10,Terminated,649573,649599,26,100,0.1
task_MzQwMDQzNjY0MzkwNzU2ODYyMg==,36,j_771811,12,Terminated,195973,196133,160,100,0.79
task_LTI0MjU2NDM0NTE3NDI0MzkwNjE=,36,j_771811,12,Terminated,195974,196149,175,100,0.79
task_MzQwMDQzNjY0MzkwNzU2ODYyMg==,10,j_449135,3,Terminated,174374,174489,115,100,0.39
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,77,j_412243,10,Terminated,131182,131218,36,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,35,j_126094,10,Terminated,563201,563240,39,100,0.1
task_ODg3NTU4NTE3NDcxODA4NjA5Ng==,40,j_23657,3,Terminated,455220,455353,133,100,0.39
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,17,j_193000,10,Terminated,671236,671262,26,100,0.1
task_OTg1NjA1OTIxMzA4ODkxNg==,28,j_472437,8,Terminated,174438,174462,24,100,0.59
task_NzQ3MjEzNzg0MzE5NDE5NzM1Mg==,24,j_256061,3,Terminated,368864,368979,115,100,1.53
task_NzQ3MjEzNzg0MzE5NDE5NzM1Mg==,11,j_746842,3,Terminated,628072,628269,197,100,1.53
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,68,j_349914,10,Terminated,131296,131340,44,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,12,j_617035,10,Terminated,584900,584924,24,100,0.1
task_ODg3NTU4NTE3NDcxODA4NjA5Ng==,40,j_591617,3,Terminated,541740,541781,41,100,0.39
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,24,j_206639,10,Terminated,131373,131410,37,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,30,j_448663,10,Terminated,217774,217806,32,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,24,j_779912,10,Terminated,131391,131435,44,100,0.1
task_OTg1NjA1OTIxMzA4ODkxNg==,49,j_789026,8,Terminated,649829,649851,22,100,0.59
task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,17,j_789026,8,Terminated,649829,649877,48,100,0.59
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,30,j_620449,10,Terminated,498631,498655,24,100,0.1
task_OTg1NjA1OTIxMzA4ODkxNg==,25,j_389437,8,Terminated,628244,628355,111,100,0.59
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,86,j_452552,10,Terminated,131446,131470,24,100,0.1
task_OTg1NjA1OTIxMzA4ODkxNg==,49,j_153598,8,Terminated,217848,217869,21,100,0.59
task_ODYzMjgxNTM3NDQ2NzUwMjQxMg==,17,j_153598,8,Terminated,217848,217891,43,100,0.59
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,23,j_713824,10,Terminated,671455,671498,43,100,0.1
task_OTg1NjA1OTIxMzA4ODkxNg==,25,j_366897,8,Terminated,369065,369139,74,100,0.59
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,36,j_421497,10,Terminated,304267,304297,30,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,61,j_889792,10,Terminated,131474,131499,25,100,0.1
task_OTg1NjA1OTIxMzA4ODkxNg==,25,j_625043,8,Terminated,282681,282727,46,100,0.59
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,12,j_319456,10,Terminated,131492,131525,33,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,32,j_74651,10,Terminated,649901,649932,31,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,49,j_759511,10,Terminated,563513,563540,27,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,29,j_758524,10,Terminated,563522,563548,26,100,0.1
task_MzQwMDQzNjY0MzkwNzU2ODYyMg==,13,j_149362,3,Terminated,131528,131558,30,100,0.32
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,10,j_752920,10,Terminated,131535,131557,22,100,0.1
task_MzQwMDQzNjY0MzkwNzU2ODYyMg==,15,j_214309,3,Terminated,131539,131567,28,100,0.32
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,31,j_116075,10,Terminated,563564,563587,23,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,55,j_356204,10,Terminated,563568,563594,26,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,36,j_451871,10,Terminated,563579,563607,28,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,30,j_282630,10,Terminated,498810,498830,20,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,13,j_851813,10,Terminated,239613,239635,22,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,67,j_810751,10,Terminated,131640,131665,25,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,26,j_423986,10,Terminated,131640,131824,184,75,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,12,j_690960,10,Terminated,218055,218085,30,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,53,j_697824,10,Terminated,131658,131684,26,100,0.1
task_MjA0NDk5ODc0NDc1NzAwMzc3Mw==,20,j_54351,3,Terminated,261279,261323,44,100,0.2
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,14,j_348197,10,Terminated,563683,563703,20,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,12,j_506819,10,Terminated,563687,563707,20,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,52,j_253443,10,Terminated,650100,650126,26,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,13,j_614985,10,Terminated,239718,239745,27,100,0.1
task_NzQ3MjEzNzg0MzE5NDE5NzM1Mg==,22,j_279620,3,Terminated,477330,477366,36,100,1.53
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,33,j_17099,10,Terminated,218164,218187,23,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,39,j_276402,10,Terminated,304586,304619,33,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,12,j_82695,10,Terminated,304627,304656,29,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,30,j_493891,10,Terminated,218260,218292,32,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,10,j_123636,10,Terminated,131865,131889,24,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,38,j_349054,10,Terminated,563868,563891,23,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,50,j_431353,10,Terminated,131869,131895,26,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,20,j_866177,10,Terminated,563881,563907,26,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,13,j_55925,10,Terminated,239885,239905,20,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,38,j_479816,10,Terminated,218306,218345,39,100,0.1
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,25,j_274646,10,Terminated,563909,563933,24,100,0.1
